編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLPLKHMFFEA77DA,37,111.27,住家用,鋼筋混凝土造,68年12月1日,004,四層
RPSNMLNJLHMFFFA87DA,,167.18,,鋼筋混凝土造,,012,七層 陽台
RPPOMLNJLHMFFFA67DA,,112.46,,加強磚造,,004,二層 露台
RPQOMLNJLHMFFFA77DA,5,142.82,住家用,鋼筋混凝土造,100年10月27日,015,十三層
RPQOMLNJLHMFFFA77DA,5,8.72,見其他登記事項,鋼筋混凝土造,100年10月27日,015,
RPQOMLNJLHMFFFA77DA,5,6.53,見其他登記事項,鋼筋混凝土造,100年10月27日,015,
RPQOMLNJLHMFFFA77DA,5,11.49,見其他登記事項,鋼筋混凝土造,100年10月27日,015,
RPQOMLNJLHMFFFA77DA,5,30.05,見其他登記事項,鋼筋混凝土造,100年10月27日,015,
RPQOMLNJLHMFFFA77DA,5,5.29,見其他登記事項,鋼筋混凝土造,100年10月27日,015,
RPQOMLNJLHMFFFA77DA,5,38.69,見其他登記事項,鋼筋混凝土造,100年10月27日,015,
