編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLKKLHMFFEA37CA,1,90.04,見其他登記事項,鋼筋混凝土造,104年11月4日,021,
RPRNMLKKLHMFFEA37CA,1,2.67,見其他登記事項,鋼筋混凝土造,104年11月4日,021,一層
RPRNMLKKLHMFFEA37CA,1,4.78,見其他登記事項,鋼筋混凝土造,104年11月4日,021,
RPRNMLKKLHMFFEA37CA,1,2.54,見其他登記事項,鋼筋混凝土造,104年11月4日,021,一層
RPRNMLKKLHMFFEA37CA,1,1.19,見其他登記事項,鋼筋混凝土造,104年11月4日,021,
RPRNMLKKLHMFFEA37CA,1,.07,見其他登記事項,鋼筋混凝土造,104年11月4日,021,一層
RPRNMLKKLHMFFEA37CA,1,64.29,見其他登記事項,鋼筋混凝土造,104年11月4日,021,
RPUPMLKKLHMFFEA87CA,1,32.09,見其他登記事項,鋼筋混凝土造,104年8月28日,019,十五層
RPUPMLKKLHMFFEA87CA,1,36.91,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPUPMLKKLHMFFEA87CA,1,16.39,見其他登記事項,鋼筋混凝土造,104年8月28日,019,
RPQPMLQJLHMFFEA97CA,56,123.58,住家用,磚造,50年2月13日,,一層 二層 騎樓
RPQOMLMLKHMFFFA67CA,30,82.36,住家用,鋼筋混凝土造,76年2月16日,014,十三層
RPROMLMLKHMFFFA77CA,,82.47,住家用,鋼筋混凝土造,,012,五層
RPROMLMLKHMFFFA77CA,,13.54,共有部分,鋼筋混凝土造,,012,
RPTNMLNLKHMFFAA57DA,,104.23,住家用,鋼筋混凝土造,,004,四層 陽台
RPPOMLNJLHMFFAA17DA,36,113.38,見使用執照,鋼筋混凝土造,70年6月2日,005,二層
RPUOMLTJLHMFFAA28DA,15,203.93,住家用,鋼骨鋼筋混凝土造,91年3月21日,003,一層 二層 三層 地下一層 見使用執照
RPUOMLTJLHMFFAA28DA,15,30.25,共有部分,鋼骨鋼筋混凝土造,91年3月21日,003,
RPTNMLOLKHMFFAA67DA,13,.10,見其他登記事項,鋼筋混凝土造,93年5月14日,012,一層
RPTNMLOLKHMFFAA67DA,13,.00,共有部分,鋼筋混凝土造,93年5月14日,012,
RPTNMLOLKHMFFAA67DA,13,16.70,共有部分,鋼筋混凝土造,93年5月14日,012,
RPROMLTJLHMFFBA08DA,42,21.29,住家用,鋼筋混凝土造,63年8月6日,009,五層
RPROMLTJLHMFFBA08DA,42,12.63,住家用,鋼筋混凝土造,63年8月6日,009,
RPTNMLNLKHMFFBA67DA,34,98.71,住家用,鋼筋混凝土造,71年12月20日,007,六層
RPTNMLNLKHMFFBA67DA,34,12.65,共有部分,鋼筋混凝土造,71年12月20日,007,
RPWNMLMLKHMFFCA97DA,,190.96,見其他登記事項,鋼筋混凝土造,105年6月8日,014,六層
RPWNMLMLKHMFFCA97DA,,232.31,見其他登記事項,鋼筋混凝土造,105年6月8日,014,
