timestamp,gym,gym_cap,pool,pool_cap,pool_temp
2017-04-19T17:41:02.106566+08:00,60,120,47,300,29
2017-04-19T17:42:02.350506+08:00,58,120,48,300,29
2017-04-19T17:43:02.604947+08:00,58,120,46,300,29
2017-04-19T17:44:02.042784+08:00,58,120,45,300,29
2017-04-19T17:45:02.343882+08:00,58,120,46,300,29
2017-04-19T17:46:02.561597+08:00,57,120,47,300,29
2017-04-19T17:47:01.904496+08:00,58,120,48,300,29
2017-04-19T17:48:02.175581+08:00,58,120,47,300,29
2017-04-19T17:49:02.447038+08:00,59,120,49,300,29
2017-04-19T17:50:02.673258+08:00,61,120,49,300,29
2017-04-19T17:51:01.951303+08:00,60,120,49,300,29
2017-04-19T17:52:02.350302+08:00,62,120,51,300,29
2017-04-19T17:53:02.684595+08:00,62,120,51,300,29
2017-04-19T17:54:02.027787+08:00,62,120,50,300,29
2017-04-19T17:55:02.292667+08:00,64,120,50,300,29
2017-04-19T17:56:02.569736+08:00,65,120,52,300,29
2017-04-19T17:57:02.775049+08:00,66,120,51,300,29
2017-04-19T17:58:02.059802+08:00,65,120,50,300,29
2017-04-19T17:59:02.437997+08:00,65,120,51,300,29
2017-04-19T18:00:02.694264+08:00,64,120,53,300,29
2017-04-19T18:01:02.044250+08:00,66,120,56,300,29
2017-04-19T18:02:02.421584+08:00,65,120,56,300,29
2017-04-19T18:03:02.635874+08:00,66,120,56,300,29
2017-04-19T18:04:01.860553+08:00,66,120,55,300,29
2017-04-19T18:05:02.157434+08:00,70,120,55,300,29
2017-04-19T18:06:02.357448+08:00,69,120,54,300,29
2017-04-19T18:07:02.698742+08:00,71,120,53,300,29
2017-04-19T18:08:01.988643+08:00,72,120,52,300,29
2017-04-19T18:09:02.335978+08:00,74,120,52,300,29
2017-04-19T18:10:02.623966+08:00,75,120,52,300,29
2017-04-19T18:11:02.817368+08:00,74,120,50,300,29
2017-04-19T18:12:02.050779+08:00,75,120,49,300,29
2017-04-19T18:13:02.338528+08:00,74,120,46,300,29
2017-04-19T18:14:02.612699+08:00,74,120,47,300,29
2017-04-19T18:15:01.837332+08:00,77,120,46,300,29
2017-04-19T18:16:02.051526+08:00,77,120,48,300,29
2017-04-19T18:17:02.367801+08:00,77,120,48,300,29
2017-04-19T18:18:02.742568+08:00,81,120,47,300,29
2017-04-19T18:19:02.052418+08:00,81,120,46,300,29
2017-04-19T18:20:02.351946+08:00,81,120,45,300,29
2017-04-19T18:21:02.694294+08:00,80,120,45,300,29
2017-04-19T18:22:01.901002+08:00,76,120,44,300,29
2017-04-19T18:23:02.238232+08:00,78,120,43,300,29
